City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,48.69,77,100,4.07,AU,1690401661
1,mossel bay,-34.1831,22.146,55.33,79,35,4.07,ZA,1690401661
2,iqaluit,63.7506,-68.5145,49.73,71,75,3.44,CA,1690401493
3,invercargill,-46.4,168.35,42.58,70,100,13.67,NZ,1690401662
4,waitangi,-43.9535,-176.5597,49.32,54,100,18.92,NZ,1690401662
5,mangai,-4.05,19.5333,81.86,36,62,1.14,CD,1690401662
6,klyuchi,52.2667,79.1667,73.62,34,100,7.18,RU,1690401457
7,nago,26.5881,127.9761,83.25,87,100,15.12,JP,1690401456
8,kodiak,57.79,-152.4072,56.71,88,100,5.75,US,1690401664
9,denia,38.8408,0.1057,82.74,78,0,7.0,ES,1690401665
10,sinfra,6.6167,-5.9167,73.87,97,42,3.76,CI,1690401665
11,grytviken,-54.2811,-36.5092,31.08,98,100,9.64,GS,1690401665
12,bethel,41.3712,-73.414,89.02,65,24,3.0,US,1690401609
13,ponta delgada,37.7333,-25.6667,75.92,69,20,4.61,PT,1690401666
14,edinburgh of the seven seas,-37.0676,-12.3116,50.29,62,73,20.4,SH,1690401666
15,port mathurin,-19.6833,63.4167,74.75,78,47,13.71,MU,1690401666
16,salinopolis,-0.6136,-47.3561,82.36,76,36,12.3,BR,1690401502
17,aasiaat,68.7098,-52.8699,38.88,88,21,8.79,GL,1690401666
18,oliveira dos brejinhos,-12.3169,-42.8961,85.01,26,14,9.33,BR,1690401667
19,kone,-21.0595,164.8658,58.86,71,2,4.5,NC,1690401667
20,lazaro cardenas,17.9583,-102.2,89.6,55,33,11.21,MX,1690401667
21,pavlodar,52.3,76.95,71.4,37,0,8.95,KZ,1690401667
22,ebon,4.582,168.6964,79.93,84,100,9.73,MH,1690401668
23,taoudenni,22.6783,-3.9836,108.84,10,35,8.57,ML,1690401499
24,castillos,-34.1667,-53.8333,53.17,81,96,15.37,UY,1690401452
25,avarua,-21.2078,-159.775,71.65,88,20,1.14,CK,1690401668
26,paita,-5.0892,-81.1144,76.48,69,50,15.55,PE,1690401669
27,ilulissat,69.2167,-51.1,47.84,57,2,6.58,GL,1690401669
28,susuman,62.7833,148.1667,51.17,88,100,4.5,RU,1690401669
29,port-aux-francais,-49.35,70.2167,41.25,80,78,40.85,TF,1690401669
30,fada,9.5667,8.3,71.15,91,95,2.51,NG,1690401670
31,lihue,21.9789,-159.3672,81.64,77,68,13.91,US,1690401670
32,tiksi,71.6872,128.8694,42.49,78,33,4.68,RU,1690401671
33,margaret river,-33.95,115.0667,55.27,66,100,19.15,AU,1690401671
34,raja,8.4596,25.678,70.3,93,100,1.19,SS,1690401671
35,hamilton,39.1834,-84.5333,92.77,63,60,4.0,US,1690401671
36,tortoli,39.9256,9.6572,78.62,29,0,13.8,IT,1690401672
37,rio rancho,35.2334,-106.6645,103.48,16,40,5.99,US,1690401462
38,sinabang,2.4803,96.3801,79.68,84,100,2.37,ID,1690401672
39,adamstown,-25.066,-130.1015,67.71,68,100,18.45,PN,1690401673
40,pale,43.8161,18.5694,56.95,93,75,4.61,BA,1690401673
41,valparaiso,-33.0393,-71.6273,61.03,70,0,9.22,CL,1690401583
42,punta arenas,-53.15,-70.9167,35.94,68,38,13.87,CL,1690401561
43,gisborne,-38.6533,178.0042,39.92,78,42,8.55,NZ,1690401674
44,whitehorse,60.7161,-135.0538,66.81,63,75,1.99,CA,1690401674
45,puerto natales,-51.7236,-72.4875,34.29,91,99,3.62,CL,1690401674
46,fort st. john,56.2499,-120.8529,58.89,82,100,12.66,CA,1690401649
47,yellowknife,62.456,-114.3525,75.72,33,40,17.27,CA,1690401542
48,yuanping,38.7153,112.7575,68.61,85,44,1.66,CN,1690401674
49,jamestown,42.097,-79.2353,86.02,50,40,12.66,US,1690401638
50,sitka,57.0531,-135.33,58.89,82,100,5.75,US,1690401675
51,bardai,11.65,7.2333,81.57,60,99,8.03,NG,1690401675
52,bilibino,68.0546,166.4372,50.63,73,17,3.62,RU,1690401675
53,port lincoln,-34.7333,135.8667,55.87,53,3,15.48,AU,1690401502
54,puerto ayora,-0.7393,-90.3518,87.76,88,85,10.0,EC,1690401676
55,lebu,-37.6167,-73.65,51.21,76,100,7.16,CL,1690401676
56,vilyuchinsk,52.9306,158.4028,59.27,77,100,1.74,RU,1690401676
57,nouadhibou,20.931,-17.0347,73.38,73,73,17.27,MR,1690401593
58,tabou,4.423,-7.3528,76.37,91,38,7.63,CI,1690401676
59,yerofey pavlovich,53.9667,121.9667,59.38,95,33,3.27,RU,1690401677
60,mersa matruh,31.3525,27.2453,82.6,74,0,9.22,EG,1690401677
61,tolanaro,-25.0319,46.9987,68.07,68,40,13.8,MG,1690401677
62,awjilah,29.1081,21.2869,93.42,19,0,13.06,LY,1690401484
63,new norfolk,-42.7826,147.0587,49.87,95,100,2.86,AU,1690401678
64,plettenberg bay,-34.0527,23.3716,54.79,78,56,5.97,ZA,1690401678
65,malango,-2.9627,119.9001,64.53,98,61,1.59,ID,1690401501
66,iskateley,67.6803,53.1512,61.56,73,77,3.53,RU,1690401678
67,linqiong,30.4159,103.4609,75.02,93,99,1.28,CN,1690401679
68,stanley,54.868,-1.6985,60.06,79,0,12.66,GB,1690401478
69,gaigeturi,33.4644,126.3183,77.05,100,40,2.3,KR,1690401679
70,saipan,15.1355,145.701,80.65,100,100,11.99,MP,1690401679
71,turkmenabat,39.0733,63.5786,91.38,19,0,6.91,TM,1690401680
72,khandyga,62.6667,135.6,58.03,59,0,8.23,RU,1690401394
73,utrik,11.2278,169.8474,82.17,82,100,17.25,MH,1690401680
74,ocean city,39.2776,-74.5746,86.18,61,0,10.96,US,1690401680
75,dudinka,69.4058,86.1778,67.62,76,7,6.42,RU,1690401680
76,novyy urgal,51.0736,132.5642,59.92,98,12,1.01,RU,1690401681
77,atafu village,-8.5421,-172.5159,82.8,74,23,19.3,TK,1690401681
78,vorgashor,67.5833,63.95,57.96,90,100,6.08,RU,1690401418
79,luganville,-15.5333,167.1667,72.91,85,100,12.53,VU,1690401681
80,zhezqazghan,47.7833,67.7667,77.77,50,100,17.85,KZ,1690401681
81,vadso,70.0744,29.7487,50.88,93,100,5.75,NO,1690401682
82,selfoss,63.9331,-20.9971,61.05,69,100,6.85,IS,1690401401
83,road town,18.4167,-64.6167,86.04,70,20,13.8,VG,1690401682
84,quellon,-43.1167,-73.6167,48.45,81,100,3.44,CL,1690401683
85,longyearbyen,78.2186,15.6401,55.24,67,20,11.5,SJ,1690401537
86,crane,31.3974,-102.3501,97.34,21,31,17.67,US,1690401446
87,sterling,39.0062,-77.4286,93.18,52,40,8.05,US,1690401472
88,santa rosa,14.3122,121.1114,80.94,93,100,16.91,PH,1690401427
89,albany,42.6001,-73.9662,87.8,59,57,3.0,US,1690401560
90,badger,64.8,-147.5333,78.13,65,75,4.61,US,1690401684
91,vilyuysk,63.7553,121.6247,52.25,69,49,4.47,RU,1690401685
92,chonchi,-42.6128,-73.8092,50.13,87,100,2.71,CL,1690401685
93,saint-pierre,-21.3393,55.4781,67.68,83,75,4.61,RE,1690401460
94,alice springs,-23.7,133.8833,54.95,71,100,0.0,AU,1690401685
95,oak bay,48.4496,-123.3026,72.41,67,20,9.22,CA,1690401685
96,banda aceh,5.5577,95.3222,80.1,79,100,12.8,ID,1690401686
97,happy valley-goose bay,53.3168,-60.3315,79.11,38,40,18.41,CA,1690401686
98,yulinshi,38.2906,109.7494,75.2,60,100,8.08,CN,1690401686
99,shahr-e babak,30.1165,55.1186,82.9,26,8,13.06,IR,1690401686
100,sechura,-5.5569,-80.8222,81.03,57,96,12.55,PE,1690401686
101,hastings,50.8552,0.5729,60.93,46,100,11.97,GB,1690401688
102,sabratah,32.7933,12.4885,81.79,73,0,12.66,LY,1690401689
103,ta`u,-14.2336,-169.5144,77.61,74,93,12.37,AS,1690401689
104,westport,41.1415,-73.3579,90.28,60,13,5.99,US,1690401604
105,jaisinghnagar,23.7,81.3833,82.92,63,81,4.61,IN,1690401690
106,lompoc,34.6391,-120.4579,94.78,77,75,12.66,US,1690401652
107,ust'-ilimsk,58.0006,102.6619,60.49,86,98,2.98,RU,1690401528
108,arkalyk,50.2486,66.9114,63.55,78,56,8.16,KZ,1690401690
109,oxelosund,58.6706,17.1015,61.18,59,0,4.61,SE,1690401690
110,krotoszyn,51.6987,17.4374,60.57,57,100,7.18,PL,1690401691
111,xinyuan,37.3,99.0,43.81,94,100,2.17,CN,1690401691
112,tweed heads,-28.1817,153.547,55.99,87,40,4.61,AU,1690401548
113,lorengau,-2.0226,147.2712,82.2,79,81,13.82,PG,1690401692
114,merizo village,13.2658,144.6691,79.36,96,100,24.25,GU,1690401692
115,constantia,44.1833,28.65,75.88,79,19,7.96,RO,1690401692
116,ambad,19.6167,75.8,74.97,88,100,18.32,IN,1690401692
117,arraial do cabo,-22.9661,-42.0278,71.46,88,75,20.71,BR,1690401693
118,inverness,57.4791,-4.224,57.11,82,20,10.36,GB,1690401693
119,hermanus,-34.4187,19.2345,48.79,87,16,8.84,ZA,1690401693
120,harstad,68.799,16.5293,62.8,95,13,8.99,NO,1690401693
121,thompson,55.7435,-97.8558,60.96,63,75,5.75,CA,1690401694
122,portland,45.5234,-122.6762,81.52,46,20,8.05,US,1690401576
123,remire-montjoly,4.9167,-52.2667,82.44,83,4,2.3,GF,1690401699
124,ushuaia,-54.8,-68.3,35.26,64,40,12.66,AR,1690401699
125,rongelap,11.1635,166.8941,82.02,82,100,18.54,MH,1690401699
126,peniche,39.3558,-9.3811,69.3,93,13,18.43,PT,1690401700
127,enewetak,11.3474,162.3373,82.58,75,84,13.94,MH,1690401477
128,helena valley west central,46.6629,-112.0604,85.73,35,7,11.01,US,1690401700
129,bodo,67.28,14.405,64.44,70,0,5.75,NO,1690401700
130,tofol,5.3248,163.0078,82.63,76,100,7.54,FM,1690401700
131,tazovsky,67.4667,78.7,59.23,84,17,8.86,RU,1690401700
132,sharypovo,55.5403,89.2008,58.1,80,11,5.46,RU,1690401701
133,college,64.8569,-147.8028,78.21,70,96,0.85,US,1690401701
134,mateszalka,47.9553,22.3235,57.88,80,95,19.62,HU,1690401701
135,nova sintra,14.8667,-24.7167,73.72,85,67,11.65,CV,1690401701
136,bodaybo,57.8506,114.1933,62.4,89,2,1.3,RU,1690401701
137,daru,-9.0763,143.2092,76.15,86,95,15.66,PG,1690401441
138,egilsstadir,65.2653,-14.3948,46.31,81,75,12.66,IS,1690401702
139,weno,7.4515,151.8468,82.26,73,81,3.33,FM,1690401702
140,broken hill,-31.95,141.4333,51.08,58,0,11.68,AU,1690401702
141,ribeira grande,38.5167,-28.7,75.78,83,20,11.5,PT,1690401420
142,juegang,32.3174,121.1855,81.91,93,82,10.18,CN,1690401703
143,bredasdorp,-34.5322,20.0403,50.47,91,100,6.26,ZA,1690401703
144,salalah,17.0151,54.0924,76.44,92,100,7.99,OM,1690401703
145,tura,25.5198,90.2201,74.8,97,100,6.02,IN,1690401703
146,umm kaddadah,13.6017,26.6876,84.63,52,100,22.46,SD,1690401708
147,peebles,55.6519,-3.1888,61.52,81,100,1.99,GB,1690401708
148,papatowai,-46.5619,169.4708,41.41,91,100,28.57,NZ,1690401709
149,geraldton,-28.7667,114.6,50.41,93,75,5.75,AU,1690401695
150,guiuan,11.0333,125.7247,83.71,74,100,15.19,PH,1690401709
151,menongue,-14.6585,17.691,62.01,29,0,3.18,AO,1690401709
152,mo i rana,66.3128,14.1428,63.07,81,20,3.44,NO,1690401709
153,darwin,-12.4611,130.8418,67.98,77,100,3.44,AU,1690401477
154,belmonte,-15.8631,-38.8828,74.44,73,43,6.64,BR,1690401710
155,port-vila,-17.7338,168.3219,69.4,68,75,8.05,VU,1690401680
156,conception bay south,47.4999,-52.9981,83.35,55,98,12.33,CA,1690401476
157,bugene,-1.5911,31.1403,63.59,40,8,2.48,TZ,1690401711
158,pisco,-13.7,-76.2167,71.65,64,75,17.27,PE,1690401711
159,loreto,22.2667,-101.9667,73.51,39,100,9.57,MX,1690401712
160,morehead city,34.7229,-76.726,91.45,76,95,8.01,US,1690401712
161,wailua homesteads,22.0669,-159.378,81.03,83,72,3.0,US,1690401712
162,nikolayevsk-on-amure,53.1406,140.73,63.93,98,97,3.33,RU,1690401713
163,plastun,44.7561,136.2939,69.67,72,99,5.59,RU,1690401713
164,hithadhoo,-0.6,73.0833,83.07,78,69,16.91,MV,1690401713
